match_number,matchweek,date,venue,opponent,result,result_label,metric,value,metric_label
1,1.0,2025-08-15,Home,Bournemouth,W,Win,goals_for,4.0,Goals For
2,2.0,2025-08-25,Away,Newcastle United,W,Win,goals_for,3.0,Goals For
3,3.0,2025-08-31,Home,Arsenal,W,Win,goals_for,1.0,Goals For
4,4.0,2025-09-14,Away,Burnley,W,Win,goals_for,1.0,Goals For
5,5.0,2025-09-20,Home,Everton,W,Win,goals_for,2.0,Goals For
6,6.0,2025-09-27,Away,Crystal Palace,L,Loss,goals_for,1.0,Goals For
7,7.0,2025-10-04,Away,Chelsea,L,Loss,goals_for,1.0,Goals For
8,8.0,2025-10-19,Home,Manchester Utd,L,Loss,goals_for,1.0,Goals For
9,9.0,2025-10-25,Away,Brentford,L,Loss,goals_for,2.0,Goals For
10,10.0,2025-11-01,Home,Aston Villa,W,Win,goals_for,2.0,Goals For
11,11.0,2025-11-09,Away,Manchester City,L,Loss,goals_for,0.0,Goals For
12,12.0,2025-11-22,Home,Nottingham Forest,L,Loss,goals_for,0.0,Goals For
13,13.0,2025-11-30,Away,West Ham United,W,Win,goals_for,2.0,Goals For
14,14.0,2025-12-03,Home,Sunderland,D,Draw,goals_for,1.0,Goals For
15,15.0,2025-12-06,Away,Leeds United,D,Draw,goals_for,3.0,Goals For
16,16.0,2025-12-13,Home,Brighton,W,Win,goals_for,2.0,Goals For
17,17.0,2025-12-20,Away,Tottenham Hotspur,W,Win,goals_for,2.0,Goals For
18,18.0,2025-12-27,Home,Wolves,W,Win,goals_for,2.0,Goals For
19,19.0,2026-01-01,Home,Leeds United,D,Draw,goals_for,0.0,Goals For
20,20.0,2026-01-04,Away,Fulham,D,Draw,goals_for,2.0,Goals For
21,21.0,2026-01-08,Away,Arsenal,D,Draw,goals_for,0.0,Goals For
22,22.0,2026-01-17,Home,Burnley,D,Draw,goals_for,1.0,Goals For
23,23.0,2026-01-24,Away,Bournemouth,L,Loss,goals_for,2.0,Goals For
24,24.0,2026-01-31,Home,Newcastle United,W,Win,goals_for,4.0,Goals For
25,25.0,2026-02-08,Home,Manchester City,L,Loss,goals_for,1.0,Goals For
26,26.0,2026-02-11,Away,Sunderland,W,Win,goals_for,1.0,Goals For
27,27.0,2026-02-22,Away,Nottingham Forest,W,Win,goals_for,1.0,Goals For
28,28.0,2026-02-28,Home,West Ham United,W,Win,goals_for,5.0,Goals For
29,29.0,2026-03-03,Away,Wolves,L,Loss,goals_for,1.0,Goals For
30,30.0,2026-03-15,Home,Tottenham Hotspur,D,Draw,goals_for,1.0,Goals For
31,31.0,2026-03-21,Away,Brighton,L,Loss,goals_for,1.0,Goals For
32,32.0,2026-04-11,Home,Fulham,W,Win,goals_for,2.0,Goals For
33,33.0,2026-04-19,Away,Everton,W,Win,goals_for,2.0,Goals For
34,34.0,2026-04-25,Home,Crystal Palace,W,Win,goals_for,3.0,Goals For
35,35.0,2026-05-03,Away,Manchester Utd,L,Loss,goals_for,2.0,Goals For
36,36.0,2026-05-09,Home,Chelsea,D,Draw,goals_for,1.0,Goals For
1,1.0,2025-08-15,Home,Bournemouth,W,Win,goals_against,2.0,Goals Against
2,2.0,2025-08-25,Away,Newcastle United,W,Win,goals_against,2.0,Goals Against
3,3.0,2025-08-31,Home,Arsenal,W,Win,goals_against,0.0,Goals Against
4,4.0,2025-09-14,Away,Burnley,W,Win,goals_against,0.0,Goals Against
5,5.0,2025-09-20,Home,Everton,W,Win,goals_against,1.0,Goals Against
6,6.0,2025-09-27,Away,Crystal Palace,L,Loss,goals_against,2.0,Goals Against
7,7.0,2025-10-04,Away,Chelsea,L,Loss,goals_against,2.0,Goals Against
8,8.0,2025-10-19,Home,Manchester Utd,L,Loss,goals_against,2.0,Goals Against
9,9.0,2025-10-25,Away,Brentford,L,Loss,goals_against,3.0,Goals Against
10,10.0,2025-11-01,Home,Aston Villa,W,Win,goals_against,0.0,Goals Against
11,11.0,2025-11-09,Away,Manchester City,L,Loss,goals_against,3.0,Goals Against
12,12.0,2025-11-22,Home,Nottingham Forest,L,Loss,goals_against,3.0,Goals Against
13,13.0,2025-11-30,Away,West Ham United,W,Win,goals_against,0.0,Goals Against
14,14.0,2025-12-03,Home,Sunderland,D,Draw,goals_against,1.0,Goals Against
15,15.0,2025-12-06,Away,Leeds United,D,Draw,goals_against,3.0,Goals Against
16,16.0,2025-12-13,Home,Brighton,W,Win,goals_against,0.0,Goals Against
17,17.0,2025-12-20,Away,Tottenham Hotspur,W,Win,goals_against,1.0,Goals Against
18,18.0,2025-12-27,Home,Wolves,W,Win,goals_against,1.0,Goals Against
19,19.0,2026-01-01,Home,Leeds United,D,Draw,goals_against,0.0,Goals Against
20,20.0,2026-01-04,Away,Fulham,D,Draw,goals_against,2.0,Goals Against
21,21.0,2026-01-08,Away,Arsenal,D,Draw,goals_against,0.0,Goals Against
22,22.0,2026-01-17,Home,Burnley,D,Draw,goals_against,1.0,Goals Against
23,23.0,2026-01-24,Away,Bournemouth,L,Loss,goals_against,3.0,Goals Against
24,24.0,2026-01-31,Home,Newcastle United,W,Win,goals_against,1.0,Goals Against
25,25.0,2026-02-08,Home,Manchester City,L,Loss,goals_against,2.0,Goals Against
26,26.0,2026-02-11,Away,Sunderland,W,Win,goals_against,0.0,Goals Against
27,27.0,2026-02-22,Away,Nottingham Forest,W,Win,goals_against,0.0,Goals Against
28,28.0,2026-02-28,Home,West Ham United,W,Win,goals_against,2.0,Goals Against
29,29.0,2026-03-03,Away,Wolves,L,Loss,goals_against,2.0,Goals Against
30,30.0,2026-03-15,Home,Tottenham Hotspur,D,Draw,goals_against,1.0,Goals Against
