player,apps,mins,tackles,ints,pos_won,blocks,clearances,ground_duels_total,ground_duels_won,ground_duels_pct,aerial_duels_total,aerial_duels_won,aerial_duels_pct,player_original_opta
Dominik Szoboszlai,34,3053,52,29,181,8,57,227,106,46.7,40,19,47.5,Dominik Szoboszlai
Curtis Jones,32,1749,36,16,134,5,24,151,83,55.0,36,10,27.8,Curtis Jones
Ryan Gravenberch,34,2847,55,46,124,11,52,221,124,56.1,48,27,56.3,Ryan Gravenberch
Florian Wirtz,31,2347,32,10,110,2,13,193,89,46.1,44,6,13.6,Florian Wirtz
Ibrahima Konaté,34,2921,52,29,105,23,182,141,93,66.0,164,115,70.1,Ibrahima Konaté
Alexis Mac Allister,35,2482,48,20,104,8,34,199,89,44.7,34,15,44.1,Alexis Mac Allister
Virgil van Dijk,36,3240,22,23,84,23,267,56,40,71.4,218,161,73.9,Virgil van Dijk
Cody Gakpo,34,2583,28,12,84,4,19,216,104,48.1,102,54,52.9,Cody Gakpo
Milos Kerkez,32,2163,41,13,80,8,68,124,78,62.9,64,32,50.0,Milos Kerkez
Mohamed Salah,25,2058,16,4,74,1,7,164,48,29.3,27,8,29.6,Mohamed Salah
Jeremie Frimpong,20,1023,11,6,50,0,13,99,50,50.5,16,7,43.8,Jeremie Frimpong
Conor Bradley,15,932,19,13,43,4,29,105,46,43.8,31,15,48.4,Conor Bradley
Hugo Ekitike,28,1810,11,3,42,2,27,157,61,38.9,82,31,37.8,Hugo Ekitiké
Andrew Robertson,23,1089,12,7,38,3,29,28,16,57.1,28,13,46.4,Andy Robertson
