player,apps,mins,all_carries_total,all_carries_distance_m,all_carries_avg_m,progressive_total,progressive_distance_m,progressive_avg_m,ended_with_shot,ended_with_goal,ended_with_chance,ended_with_assist,player_original_opta
Ryan Gravenberch,34,2847,552,6001.2,10.9,268,2886.8,10.8,14,2,7,1,Ryan Gravenberch
Dominik Szoboszlai,34,3053,499,5383.6,10.8,252,2446.3,9.7,10,2,10,1,Dominik Szoboszlai
Virgil van Dijk,36,3240,477,4790.5,10.0,276,2780.7,10.1,0,0,3,0,Virgil van Dijk
Ibrahima Konaté,34,2921,461,4637.1,10.1,268,2844.3,10.6,0,0,1,0,Ibrahima Konaté
Curtis Jones,32,1749,442,4455.9,10.1,188,1385.9,7.4,4,0,5,1,Curtis Jones
Cody Gakpo,34,2583,387,4500.4,11.6,209,1976.4,9.5,40,2,16,1,Cody Gakpo
Florian Wirtz,31,2347,347,3741.9,10.8,149,1351.8,9.1,12,1,21,1,Florian Wirtz
Mohamed Salah,25,2058,281,3282.7,11.7,161,1596.2,9.9,23,3,13,0,Mohamed Salah
Alexis Mac Allister,34,2482,267,2734.4,10.2,130,1354.0,10.4,7,0,2,0,Alexis Mac Allister
Milos Kerkez,30,2163,233,2754.5,11.8,145,1536.4,10.6,2,0,9,0,Milos Kerkez
Hugo Ekitike,27,1810,176,2118.0,12.0,93,1132.4,12.2,21,3,9,2,Hugo Ekitiké
Conor Bradley,15,932,156,1719.5,11.0,85,936.1,11.0,1,0,2,1,Conor Bradley
Jeremie Frimpong,20,1023,152,1875.8,12.3,111,1333.7,12.0,0,0,7,1,Jeremie Frimpong
Andrew Robertson,20,1089,111,1330.5,12.0,69,944.6,13.7,3,1,2,0,Andy Robertson
