player,primary_position,position,minutes,minutes_pct,matches_played,starts,complete_matches,goals,assists,goals_assists,goals_assists_per90,shots_per90,shots_on_target_per90,is_outfield,opta_passing_apps,opta_passing_mins,all_carries_total,all_carries_distance_m,all_carries_avg_m,progressive_total,progressive_distance_m,progressive_avg_m,ended_with_shot,ended_with_goal,ended_with_chance,ended_with_assist,opta_defending_apps,opta_defending_mins,tackles,ints,pos_won,blocks,clearances,ground_duels_total,ground_duels_won,ground_duels_pct,aerial_duels_total,aerial_duels_won,aerial_duels_pct,control_minutes,nineties,all_carries_per90,progressive_carries_per90,progressive_distance_m_per90,shot_ending_carries_per90,chance_carries_per90,assist_carries_per90,tackles_per90,interceptions_per90,possession_won_per90,blocks_per90,clearances_per90,tackles_ints_per90,blocks_clearances_per90
Virgil van Dijk,DF,DF,3240.0,100.0,36,36,36,4.0,0.0,4.0,0.11,0.75,0.33,True,36,3240,477,4790.5,10.0,276,2780.7,10.1,0,0,3,0,36,3240,22,23,84,23,267,56,40,71.4,218,161,73.9,3240.0,36.0,13.25,7.667,77.242,0.0,0.083,0.0,0.611,0.639,2.333,0.639,7.417,1.25,8.056
Dominik Szoboszlai,MF,"MF,DF",3051.0,94.2,34,34,32,6.0,5.0,11.0,0.32,2.01,0.62,True,34,3053,499,5383.6,10.8,252,2446.3,9.7,10,2,10,1,34,3053,52,29,181,8,57,227,106,46.7,40,19,47.5,3051.0,33.9,14.72,7.434,72.162,0.295,0.295,0.029,1.534,0.855,5.339,0.236,1.681,2.389,1.917
Ibrahima Konaté,DF,DF,2912.0,89.9,34,34,25,1.0,0.0,1.0,0.03,0.31,0.09,True,34,2921,461,4637.1,10.1,268,2844.3,10.6,0,0,1,0,34,2921,52,29,105,23,182,141,93,66.0,164,115,70.1,2912.0,32.355555555555554,14.248,8.283,87.908,0.0,0.031,0.0,1.607,0.896,3.245,0.711,5.625,2.503,6.336
Ryan Gravenberch,MF,MF,2845.0,87.8,34,32,28,5.0,3.0,8.0,0.25,1.11,0.35,True,34,2847,552,6001.2,10.9,268,2886.8,10.8,14,2,7,1,34,2847,55,46,124,11,52,221,124,56.1,48,27,56.3,2845.0,31.61111111111111,17.462,8.478,91.322,0.443,0.221,0.032,1.74,1.455,3.923,0.348,1.645,3.195,1.993
Cody Gakpo,MF,"MF,FW",2574.0,79.4,34,30,15,7.0,5.0,12.0,0.42,2.9,0.73,True,34,2583,387,4500.4,11.6,209,1976.4,9.5,40,2,16,1,34,2583,28,12,84,4,19,216,104,48.1,102,54,52.9,2574.0,28.6,13.531,7.308,69.105,1.399,0.559,0.035,0.979,0.42,2.937,0.14,0.664,1.399,0.804
Alexis Mac Allister,MF,MF,2478.0,76.5,35,29,18,2.0,4.0,6.0,0.22,1.71,0.4,True,34,2482,267,2734.4,10.2,130,1354.0,10.4,7,0,2,0,35,2482,48,20,104,8,34,199,89,44.7,34,15,44.1,2478.0,27.533333333333335,9.697,4.722,49.177,0.254,0.073,0.0,1.743,0.726,3.777,0.291,1.235,2.47,1.525
Florian Wirtz,MF,MF,2335.0,72.1,31,27,9,5.0,3.0,8.0,0.31,1.85,0.66,True,31,2347,347,3741.9,10.8,149,1351.8,9.1,12,1,21,1,31,2347,32,10,110,2,13,193,89,46.1,44,6,13.6,2335.0,25.944444444444443,13.375,5.743,52.104,0.463,0.809,0.039,1.233,0.385,4.24,0.077,0.501,1.619,0.578
Alisson,GK,GK,2250.0,69.4,25,25,25,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milos Kerkez,DF,DF,2159.0,66.6,32,26,14,2.0,1.0,3.0,0.13,0.33,0.08,True,30,2163,233,2754.5,11.8,145,1536.4,10.6,2,0,9,0,32,2163,41,13,80,8,68,124,78,62.9,64,32,50.0,2159.0,23.988888888888887,9.713,6.044,64.046,0.083,0.375,0.0,1.709,0.542,3.335,0.333,2.835,2.251,3.168
Mohamed Salah,MF,MF,2056.0,63.5,25,22,16,7.0,6.0,13.0,0.57,2.8,0.74,True,25,2058,281,3282.7,11.7,161,1596.2,9.9,23,3,13,0,25,2058,16,4,74,1,7,164,48,29.3,27,8,29.6,2056.0,22.844444444444445,12.301,7.048,69.873,1.007,0.569,0.0,0.7,0.175,3.239,0.044,0.306,0.875,0.35
Hugo Ekitike,FW,FW,1803.0,55.6,28,21,6,11.0,4.0,15.0,0.75,3.24,0.95,True,27,1810,176,2118.0,12.0,93,1132.4,12.2,21,3,9,2,28,1810,11,3,42,2,27,157,61,38.9,82,31,37.8,1803.0,20.033333333333335,8.785,4.642,56.526,1.048,0.449,0.1,0.549,0.15,2.097,0.1,1.348,0.699,1.448
Curtis Jones,MF,"MF,DF",1757.0,54.2,32,16,7,0.0,2.0,2.0,0.1,0.97,0.31,True,32,1749,442,4455.9,10.1,188,1385.9,7.4,4,0,5,1,32,1749,36,16,134,5,24,151,83,55.0,36,10,27.8,1757.0,19.522222222222222,22.641,9.63,70.991,0.205,0.256,0.051,1.844,0.82,6.864,0.256,1.229,2.664,1.485
Andrew Robertson,DF,DF,1094.0,33.8,23,10,4,1.0,0.0,1.0,0.08,0.74,0.25,True,20,1089,111,1330.5,12.0,69,944.6,13.7,3,1,2,0,23,1089,12,7,38,3,29,28,16,57.1,28,13,46.4,1094.0,12.155555555555555,9.132,5.676,77.709,0.247,0.165,0.0,0.987,0.576,3.126,0.247,2.386,1.563,2.633
Jeremie Frimpong,DF,"DF,MF",1023.0,31.6,20,12,4,0.0,1.0,1.0,0.09,0.88,0.18,True,20,1023,152,1875.8,12.3,111,1333.7,12.0,0,0,7,1,20,1023,11,6,50,0,13,99,50,50.5,16,7,43.8,1023.0,11.366666666666667,13.372,9.765,117.334,0.0,0.616,0.088,0.968,0.528,4.399,0.0,1.144,1.496,1.144
Conor Bradley,DF,DF,929.0,28.7,15,12,3,0.0,1.0,1.0,0.1,0.58,0.0,True,15,932,156,1719.5,11.0,85,936.1,11.0,1,0,2,1,15,932,19,13,43,4,29,105,46,43.8,31,15,48.4,929.0,10.322222222222223,15.113,8.235,90.688,0.097,0.194,0.097,1.841,1.259,4.166,0.388,2.809,3.1,3.197
Giorgi Mamardashvili,GK,GK,777.0,24.0,9,9,8,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,777.0,8.633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Isak,FW,FW,699.0,21.6,14,8,0,3.0,1.0,4.0,0.52,2.19,0.77,True,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,699.0,7.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Gomez,DF,DF,540.0,16.7,19,6,2,0.0,2.0,2.0,0.33,0.5,0.17,True,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio Ngumoha,MF,MF,398.0,12.3,17,3,0,2.0,1.0,3.0,0.68,2.49,1.36,True,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,398.0,4.4222222222222225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Chiesa,MF,MF,314.0,9.7,25,1,0,2.0,1.0,3.0,0.86,4.59,1.15,True,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,314.0,3.488888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Woodman,GK,GK,213.0,6.6,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,213.0,2.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wataru Endo,DF,DF,175.0,5.4,8,1,0,0.0,1.0,1.0,0.51,0.51,0.0,True,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,175.0,1.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
