player,nation,position,primary_position,metric,value,metric_label
Virgil van Dijk,nl NED,DF,DF,goals,4.0,Goals
Dominik Szoboszlai,hu HUN,"MF,DF",MF,goals,6.0,Goals
Ibrahima Konaté,fr FRA,DF,DF,goals,1.0,Goals
Ryan Gravenberch,nl NED,MF,MF,goals,5.0,Goals
Cody Gakpo,nl NED,"MF,FW",MF,goals,7.0,Goals
Alexis Mac Allister,ar ARG,MF,MF,goals,2.0,Goals
Florian Wirtz,de GER,MF,MF,goals,5.0,Goals
Alisson,br BRA,GK,GK,goals,0.0,Goals
Milos Kerkez,hu HUN,DF,DF,goals,2.0,Goals
Mohamed Salah,eg EGY,MF,MF,goals,7.0,Goals
Hugo Ekitike,fr FRA,FW,FW,goals,11.0,Goals
Curtis Jones,eng ENG,"MF,DF",MF,goals,0.0,Goals
Andrew Robertson,sct SCO,DF,DF,goals,1.0,Goals
Jeremie Frimpong,nl NED,"DF,MF",DF,goals,0.0,Goals
Conor Bradley,nir NIR,DF,DF,goals,0.0,Goals
Giorgi Mamardashvili,ge GEO,GK,GK,goals,0.0,Goals
Alexander Isak,se SWE,FW,FW,goals,3.0,Goals
Joe Gomez,eng ENG,DF,DF,goals,0.0,Goals
Rio Ngumoha,eng ENG,MF,MF,goals,2.0,Goals
Federico Chiesa,it ITA,MF,MF,goals,2.0,Goals
Freddie Woodman,eng ENG,GK,GK,goals,0.0,Goals
Wataru Endo,jp JPN,DF,DF,goals,0.0,Goals
Trey Nyoni,eng ENG,MF,MF,goals,0.0,Goals
Harvey Elliott,eng ENG,"FW,MF",FW,goals,0.0,Goals
Virgil van Dijk,nl NED,DF,DF,assists,0.0,Assists
Dominik Szoboszlai,hu HUN,"MF,DF",MF,assists,5.0,Assists
Ibrahima Konaté,fr FRA,DF,DF,assists,0.0,Assists
Ryan Gravenberch,nl NED,MF,MF,assists,3.0,Assists
Cody Gakpo,nl NED,"MF,FW",MF,assists,5.0,Assists
Alexis Mac Allister,ar ARG,MF,MF,assists,4.0,Assists
Florian Wirtz,de GER,MF,MF,assists,3.0,Assists
Alisson,br BRA,GK,GK,assists,0.0,Assists
Milos Kerkez,hu HUN,DF,DF,assists,1.0,Assists
Mohamed Salah,eg EGY,MF,MF,assists,6.0,Assists
Hugo Ekitike,fr FRA,FW,FW,assists,4.0,Assists
Curtis Jones,eng ENG,"MF,DF",MF,assists,2.0,Assists
Andrew Robertson,sct SCO,DF,DF,assists,0.0,Assists
Jeremie Frimpong,nl NED,"DF,MF",DF,assists,1.0,Assists
Conor Bradley,nir NIR,DF,DF,assists,1.0,Assists
Giorgi Mamardashvili,ge GEO,GK,GK,assists,0.0,Assists
Alexander Isak,se SWE,FW,FW,assists,1.0,Assists
Joe Gomez,eng ENG,DF,DF,assists,2.0,Assists
Rio Ngumoha,eng ENG,MF,MF,assists,1.0,Assists
Federico Chiesa,it ITA,MF,MF,assists,1.0,Assists
Freddie Woodman,eng ENG,GK,GK,assists,0.0,Assists
