player,nation,position,age,matches_played,starts,minutes,nineties,goals,assists,goals_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,goals_per90,assists_per90,goals_assists_per90,non_penalty_goals_per90,non_penalty_goals_assists_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,sub_appearances,minutes_per_sub,unused_sub,team_points_per_match_when_playing,team_goals_on_pitch,team_goals_against_on_pitch,team_goal_diff_on_pitch,team_goal_diff_per90_on_pitch,team_goal_diff_on_off,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,primary_position,is_outfield,source
Virgil van Dijk,nl NED,DF,34-307,36,36,3240.0,36.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,27.0,12.0,44.4,0.75,0.33,0.15,0.33,90.0,100.0,90.0,36,0,,0,1.64,60.0,48.0,12.0,0.33,,0.0,18.0,16.0,1.0,1.0,21.0,15.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Dominik Szoboszlai,hu HUN,"MF,DF",25-198,34,34,3051.0,33.9,6.0,5.0,11.0,6.0,0.0,1.0,8.0,1.0,0.18,0.15,0.32,0.18,0.32,68.0,21.0,30.9,2.01,0.62,0.09,0.29,90.0,94.2,90.0,32,0,,0,1.56,57.0,46.0,11.0,0.32,-0.15,0.0,38.0,29.0,2.0,188.0,28.0,32.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Ibrahima Konaté,fr FRA,DF,26-351,34,34,2912.0,32.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.03,0.0,0.03,0.03,0.03,10.0,3.0,30.0,0.31,0.09,0.1,0.33,86.0,89.9,86.0,25,0,,1,1.71,52.0,40.0,12.0,0.37,0.37,0.0,32.0,39.0,0.0,3.0,28.0,30.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Ryan Gravenberch,nl NED,MF,23-360,34,32,2845.0,31.6,5.0,3.0,8.0,5.0,0.0,0.0,5.0,0.0,0.16,0.09,0.25,0.16,0.25,35.0,11.0,31.4,1.11,0.35,0.14,0.45,84.0,87.8,87.0,28,2,29.0,0,1.65,48.0,39.0,9.0,0.28,-0.4,0.0,35.0,39.0,0.0,7.0,42.0,33.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Cody Gakpo,nl NED,"MF,FW",27-004,34,30,2574.0,28.6,7.0,5.0,12.0,7.0,0.0,0.0,3.0,0.0,0.24,0.17,0.42,0.24,0.42,83.0,21.0,25.3,2.9,0.73,0.08,0.33,76.0,79.4,82.0,15,4,28.0,0,1.56,46.0,35.0,11.0,0.38,0.25,0.0,42.0,42.0,26.0,86.0,11.0,15.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Alexis Mac Allister,ar ARG,MF,27-138,35,29,2478.0,27.5,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.07,0.15,0.22,0.07,0.22,47.0,11.0,23.4,1.71,0.4,0.04,0.18,71.0,76.5,81.0,18,6,20.0,0,1.6,42.0,36.0,6.0,0.22,-0.49,0.0,33.0,31.0,0.0,19.0,17.0,25.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Florian Wirtz,de GER,MF,23-008,31,27,2335.0,25.9,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,0.19,0.12,0.31,0.19,0.31,48.0,17.0,35.4,1.85,0.66,0.1,0.29,75.0,72.1,82.0,9,4,30.0,0,1.68,37.0,30.0,7.0,0.27,-0.23,0.0,21.0,19.0,2.0,32.0,11.0,25.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Alisson,br BRA,GK,33-221,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,69.4,90.0,25,0,,0,1.84,43.0,30.0,13.0,0.52,0.61,0.0,1.0,7.0,0.0,0.0,0.0,0.0,,,0.0,GK,False,"FBref Liverpool Stats, Premier League 2025-2026"
Milos Kerkez,hu HUN,DF,22-185,32,26,2159.0,24.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.08,0.04,0.13,0.08,0.13,8.0,2.0,25.0,0.33,0.08,0.25,1.0,67.0,66.6,79.0,14,6,18.0,4,1.53,39.0,32.0,7.0,0.29,-0.12,0.0,22.0,27.0,4.0,77.0,14.0,26.0,,,0.0,DF,True,"FBref Liverpool Stats, Premier League 2025-2026"
Mohamed Salah,eg EGY,MF,33-330,25,22,2056.0,22.8,7.0,6.0,13.0,6.0,1.0,1.0,1.0,0.0,0.31,0.26,0.57,0.26,0.53,64.0,17.0,26.6,2.8,0.74,0.09,0.35,82.0,63.5,87.0,16,3,46.0,2,1.76,38.0,33.0,5.0,0.22,-0.31,0.0,10.0,16.0,14.0,107.0,3.0,12.0,,,0.0,MF,True,"FBref Liverpool Stats, Premier League 2025-2026"
