player,nation,position,primary_position,metric,value,metric_label
Virgil van Dijk,nl NED,DF,DF,matches_played,36.0,Matches Played
Dominik Szoboszlai,hu HUN,"MF,DF",MF,matches_played,34.0,Matches Played
Ibrahima Konaté,fr FRA,DF,DF,matches_played,34.0,Matches Played
Ryan Gravenberch,nl NED,MF,MF,matches_played,34.0,Matches Played
Cody Gakpo,nl NED,"MF,FW",MF,matches_played,34.0,Matches Played
Alexis Mac Allister,ar ARG,MF,MF,matches_played,35.0,Matches Played
Florian Wirtz,de GER,MF,MF,matches_played,31.0,Matches Played
Alisson,br BRA,GK,GK,matches_played,25.0,Matches Played
Milos Kerkez,hu HUN,DF,DF,matches_played,32.0,Matches Played
Mohamed Salah,eg EGY,MF,MF,matches_played,25.0,Matches Played
Hugo Ekitike,fr FRA,FW,FW,matches_played,28.0,Matches Played
Curtis Jones,eng ENG,"MF,DF",MF,matches_played,32.0,Matches Played
Andrew Robertson,sct SCO,DF,DF,matches_played,23.0,Matches Played
Jeremie Frimpong,nl NED,"DF,MF",DF,matches_played,20.0,Matches Played
Conor Bradley,nir NIR,DF,DF,matches_played,15.0,Matches Played
Giorgi Mamardashvili,ge GEO,GK,GK,matches_played,9.0,Matches Played
Alexander Isak,se SWE,FW,FW,matches_played,14.0,Matches Played
Joe Gomez,eng ENG,DF,DF,matches_played,19.0,Matches Played
Rio Ngumoha,eng ENG,MF,MF,matches_played,17.0,Matches Played
Federico Chiesa,it ITA,MF,MF,matches_played,25.0,Matches Played
Freddie Woodman,eng ENG,GK,GK,matches_played,3.0,Matches Played
Wataru Endo,jp JPN,DF,DF,matches_played,8.0,Matches Played
Trey Nyoni,eng ENG,MF,MF,matches_played,5.0,Matches Played
Harvey Elliott,eng ENG,"FW,MF",FW,matches_played,1.0,Matches Played
Giovanni Leoni,it ITA,DF,DF,matches_played,0.0,Matches Played
Kieran Morrison,nir NIR,MF,MF,matches_played,0.0,Matches Played
Amara Nallo,eng ENG,DF,DF,matches_played,0.0,Matches Played
El Hadji Mor Talla Ndiaye,sn SEN,DF,DF,matches_played,0.0,Matches Played
Wellity Omoruyi,es ESP,DF,DF,matches_played,0.0,Matches Played
Ármin Pécsi,hu HUN,GK,GK,matches_played,0.0,Matches Played
Calvin Ramsay,sct SCO,DF,DF,matches_played,0.0,Matches Played
Will Wright,,FW,FW,matches_played,0.0,Matches Played
Virgil van Dijk,nl NED,DF,DF,starts,36.0,Starts
Dominik Szoboszlai,hu HUN,"MF,DF",MF,starts,34.0,Starts
Ibrahima Konaté,fr FRA,DF,DF,starts,34.0,Starts
Ryan Gravenberch,nl NED,MF,MF,starts,32.0,Starts
Cody Gakpo,nl NED,"MF,FW",MF,starts,30.0,Starts
Alexis Mac Allister,ar ARG,MF,MF,starts,29.0,Starts
Florian Wirtz,de GER,MF,MF,starts,27.0,Starts
Alisson,br BRA,GK,GK,starts,25.0,Starts
Milos Kerkez,hu HUN,DF,DF,starts,26.0,Starts
Mohamed Salah,eg EGY,MF,MF,starts,22.0,Starts
Hugo Ekitike,fr FRA,FW,FW,starts,21.0,Starts
Curtis Jones,eng ENG,"MF,DF",MF,starts,16.0,Starts
Andrew Robertson,sct SCO,DF,DF,starts,10.0,Starts
Jeremie Frimpong,nl NED,"DF,MF",DF,starts,12.0,Starts
Conor Bradley,nir NIR,DF,DF,starts,12.0,Starts
Giorgi Mamardashvili,ge GEO,GK,GK,starts,9.0,Starts
Alexander Isak,se SWE,FW,FW,starts,8.0,Starts
Joe Gomez,eng ENG,DF,DF,starts,6.0,Starts
Rio Ngumoha,eng ENG,MF,MF,starts,3.0,Starts
Federico Chiesa,it ITA,MF,MF,starts,1.0,Starts
Freddie Woodman,eng ENG,GK,GK,starts,2.0,Starts
Wataru Endo,jp JPN,DF,DF,starts,1.0,Starts
Trey Nyoni,eng ENG,MF,MF,starts,0.0,Starts
Harvey Elliott,eng ENG,"FW,MF",FW,starts,0.0,Starts
Giovanni Leoni,it ITA,DF,DF,starts,0.0,Starts
Kieran Morrison,nir NIR,MF,MF,starts,0.0,Starts
Amara Nallo,eng ENG,DF,DF,starts,0.0,Starts
El Hadji Mor Talla Ndiaye,sn SEN,DF,DF,starts,0.0,Starts
Wellity Omoruyi,es ESP,DF,DF,starts,0.0,Starts
Ármin Pécsi,hu HUN,GK,GK,starts,0.0,Starts
Calvin Ramsay,sct SCO,DF,DF,starts,0.0,Starts
Will Wright,,FW,FW,starts,0.0,Starts
Virgil van Dijk,nl NED,DF,DF,minutes,3240.0,Minutes
Dominik Szoboszlai,hu HUN,"MF,DF",MF,minutes,3051.0,Minutes
Ibrahima Konaté,fr FRA,DF,DF,minutes,2912.0,Minutes
Ryan Gravenberch,nl NED,MF,MF,minutes,2845.0,Minutes
Cody Gakpo,nl NED,"MF,FW",MF,minutes,2574.0,Minutes
Alexis Mac Allister,ar ARG,MF,MF,minutes,2478.0,Minutes
Florian Wirtz,de GER,MF,MF,minutes,2335.0,Minutes
Alisson,br BRA,GK,GK,minutes,2250.0,Minutes
Milos Kerkez,hu HUN,DF,DF,minutes,2159.0,Minutes
Mohamed Salah,eg EGY,MF,MF,minutes,2056.0,Minutes
Hugo Ekitike,fr FRA,FW,FW,minutes,1803.0,Minutes
Curtis Jones,eng ENG,"MF,DF",MF,minutes,1757.0,Minutes
Andrew Robertson,sct SCO,DF,DF,minutes,1094.0,Minutes
Jeremie Frimpong,nl NED,"DF,MF",DF,minutes,1023.0,Minutes
Conor Bradley,nir NIR,DF,DF,minutes,929.0,Minutes
Giorgi Mamardashvili,ge GEO,GK,GK,minutes,777.0,Minutes
Alexander Isak,se SWE,FW,FW,minutes,699.0,Minutes
Joe Gomez,eng ENG,DF,DF,minutes,540.0,Minutes
Rio Ngumoha,eng ENG,MF,MF,minutes,398.0,Minutes
Federico Chiesa,it ITA,MF,MF,minutes,314.0,Minutes
Freddie Woodman,eng ENG,GK,GK,minutes,213.0,Minutes
Wataru Endo,jp JPN,DF,DF,minutes,175.0,Minutes
Trey Nyoni,eng ENG,MF,MF,minutes,16.0,Minutes
Harvey Elliott,eng ENG,"FW,MF",FW,minutes,1.0,Minutes
Virgil van Dijk,nl NED,DF,DF,nineties,36.0,Nineties
Dominik Szoboszlai,hu HUN,"MF,DF",MF,nineties,33.9,Nineties
Ibrahima Konaté,fr FRA,DF,DF,nineties,32.4,Nineties
Ryan Gravenberch,nl NED,MF,MF,nineties,31.6,Nineties
Cody Gakpo,nl NED,"MF,FW",MF,nineties,28.6,Nineties
Alexis Mac Allister,ar ARG,MF,MF,nineties,27.5,Nineties
Florian Wirtz,de GER,MF,MF,nineties,25.9,Nineties
Alisson,br BRA,GK,GK,nineties,25.0,Nineties
Milos Kerkez,hu HUN,DF,DF,nineties,24.0,Nineties
Mohamed Salah,eg EGY,MF,MF,nineties,22.8,Nineties
Hugo Ekitike,fr FRA,FW,FW,nineties,20.0,Nineties
Curtis Jones,eng ENG,"MF,DF",MF,nineties,19.5,Nineties
Andrew Robertson,sct SCO,DF,DF,nineties,12.2,Nineties
Jeremie Frimpong,nl NED,"DF,MF",DF,nineties,11.4,Nineties
Conor Bradley,nir NIR,DF,DF,nineties,10.3,Nineties
Giorgi Mamardashvili,ge GEO,GK,GK,nineties,8.6,Nineties
Alexander Isak,se SWE,FW,FW,nineties,7.8,Nineties
Joe Gomez,eng ENG,DF,DF,nineties,6.0,Nineties
Rio Ngumoha,eng ENG,MF,MF,nineties,4.4,Nineties
Federico Chiesa,it ITA,MF,MF,nineties,3.5,Nineties
Freddie Woodman,eng ENG,GK,GK,nineties,2.4,Nineties
Wataru Endo,jp JPN,DF,DF,nineties,1.9,Nineties
Trey Nyoni,eng ENG,MF,MF,nineties,0.2,Nineties
Harvey Elliott,eng ENG,"FW,MF",FW,nineties,0.0,Nineties
Virgil van Dijk,nl NED,DF,DF,goals,4.0,Goals
Dominik Szoboszlai,hu HUN,"MF,DF",MF,goals,6.0,Goals
Ibrahima Konaté,fr FRA,DF,DF,goals,1.0,Goals
Ryan Gravenberch,nl NED,MF,MF,goals,5.0,Goals
Cody Gakpo,nl NED,"MF,FW",MF,goals,7.0,Goals
Alexis Mac Allister,ar ARG,MF,MF,goals,2.0,Goals
Florian Wirtz,de GER,MF,MF,goals,5.0,Goals
Alisson,br BRA,GK,GK,goals,0.0,Goals
Milos Kerkez,hu HUN,DF,DF,goals,2.0,Goals
Mohamed Salah,eg EGY,MF,MF,goals,7.0,Goals
Hugo Ekitike,fr FRA,FW,FW,goals,11.0,Goals
Curtis Jones,eng ENG,"MF,DF",MF,goals,0.0,Goals
Andrew Robertson,sct SCO,DF,DF,goals,1.0,Goals
Jeremie Frimpong,nl NED,"DF,MF",DF,goals,0.0,Goals
Conor Bradley,nir NIR,DF,DF,goals,0.0,Goals
Giorgi Mamardashvili,ge GEO,GK,GK,goals,0.0,Goals
Alexander Isak,se SWE,FW,FW,goals,3.0,Goals
Joe Gomez,eng ENG,DF,DF,goals,0.0,Goals
Rio Ngumoha,eng ENG,MF,MF,goals,2.0,Goals
Federico Chiesa,it ITA,MF,MF,goals,2.0,Goals
Freddie Woodman,eng ENG,GK,GK,goals,0.0,Goals
Wataru Endo,jp JPN,DF,DF,goals,0.0,Goals
Trey Nyoni,eng ENG,MF,MF,goals,0.0,Goals
Harvey Elliott,eng ENG,"FW,MF",FW,goals,0.0,Goals
Virgil van Dijk,nl NED,DF,DF,assists,0.0,Assists
Dominik Szoboszlai,hu HUN,"MF,DF",MF,assists,5.0,Assists
Ibrahima Konaté,fr FRA,DF,DF,assists,0.0,Assists
Ryan Gravenberch,nl NED,MF,MF,assists,3.0,Assists
Cody Gakpo,nl NED,"MF,FW",MF,assists,5.0,Assists
Alexis Mac Allister,ar ARG,MF,MF,assists,4.0,Assists
Florian Wirtz,de GER,MF,MF,assists,3.0,Assists
Alisson,br BRA,GK,GK,assists,0.0,Assists
Milos Kerkez,hu HUN,DF,DF,assists,1.0,Assists
Mohamed Salah,eg EGY,MF,MF,assists,6.0,Assists
Hugo Ekitike,fr FRA,FW,FW,assists,4.0,Assists
Curtis Jones,eng ENG,"MF,DF",MF,assists,2.0,Assists
Andrew Robertson,sct SCO,DF,DF,assists,0.0,Assists
Jeremie Frimpong,nl NED,"DF,MF",DF,assists,1.0,Assists
Conor Bradley,nir NIR,DF,DF,assists,1.0,Assists
Giorgi Mamardashvili,ge GEO,GK,GK,assists,0.0,Assists
Alexander Isak,se SWE,FW,FW,assists,1.0,Assists
Joe Gomez,eng ENG,DF,DF,assists,2.0,Assists
Rio Ngumoha,eng ENG,MF,MF,assists,1.0,Assists
Federico Chiesa,it ITA,MF,MF,assists,1.0,Assists
Freddie Woodman,eng ENG,GK,GK,assists,0.0,Assists
Wataru Endo,jp JPN,DF,DF,assists,1.0,Assists
Trey Nyoni,eng ENG,MF,MF,assists,0.0,Assists
Harvey Elliott,eng ENG,"FW,MF",FW,assists,0.0,Assists
Virgil van Dijk,nl NED,DF,DF,goals_assists,4.0,Goals Assists
Dominik Szoboszlai,hu HUN,"MF,DF",MF,goals_assists,11.0,Goals Assists
Ibrahima Konaté,fr FRA,DF,DF,goals_assists,1.0,Goals Assists
Ryan Gravenberch,nl NED,MF,MF,goals_assists,8.0,Goals Assists
Cody Gakpo,nl NED,"MF,FW",MF,goals_assists,12.0,Goals Assists
Alexis Mac Allister,ar ARG,MF,MF,goals_assists,6.0,Goals Assists
Florian Wirtz,de GER,MF,MF,goals_assists,8.0,Goals Assists
Alisson,br BRA,GK,GK,goals_assists,0.0,Goals Assists
Milos Kerkez,hu HUN,DF,DF,goals_assists,3.0,Goals Assists
Mohamed Salah,eg EGY,MF,MF,goals_assists,13.0,Goals Assists
Hugo Ekitike,fr FRA,FW,FW,goals_assists,15.0,Goals Assists
Curtis Jones,eng ENG,"MF,DF",MF,goals_assists,2.0,Goals Assists
Andrew Robertson,sct SCO,DF,DF,goals_assists,1.0,Goals Assists
Jeremie Frimpong,nl NED,"DF,MF",DF,goals_assists,1.0,Goals Assists
Conor Bradley,nir NIR,DF,DF,goals_assists,1.0,Goals Assists
Giorgi Mamardashvili,ge GEO,GK,GK,goals_assists,0.0,Goals Assists
Alexander Isak,se SWE,FW,FW,goals_assists,4.0,Goals Assists
Joe Gomez,eng ENG,DF,DF,goals_assists,2.0,Goals Assists
Rio Ngumoha,eng ENG,MF,MF,goals_assists,3.0,Goals Assists
Federico Chiesa,it ITA,MF,MF,goals_assists,3.0,Goals Assists
Freddie Woodman,eng ENG,GK,GK,goals_assists,0.0,Goals Assists
Wataru Endo,jp JPN,DF,DF,goals_assists,1.0,Goals Assists
Trey Nyoni,eng ENG,MF,MF,goals_assists,0.0,Goals Assists
Harvey Elliott,eng ENG,"FW,MF",FW,goals_assists,0.0,Goals Assists
Virgil van Dijk,nl NED,DF,DF,non_penalty_goals,4.0,Non Penalty Goals
Dominik Szoboszlai,hu HUN,"MF,DF",MF,non_penalty_goals,6.0,Non Penalty Goals
Ibrahima Konaté,fr FRA,DF,DF,non_penalty_goals,1.0,Non Penalty Goals
Ryan Gravenberch,nl NED,MF,MF,non_penalty_goals,5.0,Non Penalty Goals
Cody Gakpo,nl NED,"MF,FW",MF,non_penalty_goals,7.0,Non Penalty Goals
Alexis Mac Allister,ar ARG,MF,MF,non_penalty_goals,2.0,Non Penalty Goals
Florian Wirtz,de GER,MF,MF,non_penalty_goals,5.0,Non Penalty Goals
Alisson,br BRA,GK,GK,non_penalty_goals,0.0,Non Penalty Goals
Milos Kerkez,hu HUN,DF,DF,non_penalty_goals,2.0,Non Penalty Goals
Mohamed Salah,eg EGY,MF,MF,non_penalty_goals,6.0,Non Penalty Goals
