player,nation,pos,age,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
Virgil van Dijk,nl NED,DF,34-307,36.0,4,0,0,18,16,1,1,21,15,,,0
Dominik Szoboszlai,hu HUN,"MF,DF",25-198,33.9,8,1,0,38,29,2,188,28,32,,,0
Ibrahima Konaté,fr FRA,DF,26-351,32.4,6,0,0,32,39,0,3,28,30,,,0
Ryan Gravenberch,nl NED,MF,23-360,31.6,5,0,0,35,39,0,7,42,33,,,0
Cody Gakpo,nl NED,"MF,FW",27-004,28.6,3,0,0,42,42,26,86,11,15,,,0
Alexis Mac Allister,ar ARG,MF,27-138,27.5,6,0,0,33,31,0,19,17,25,,,0
Florian Wirtz,de GER,MF,23-008,25.9,1,0,0,21,19,2,32,11,25,,,0
Milos Kerkez,hu HUN,DF,22-185,24.0,4,0,0,22,27,4,77,14,26,,,0
Alisson,br BRA,GK,33-221,25.0,1,0,0,1,7,0,0,0,0,,,0
Mohamed Salah,eg EGY,MF,33-330,22.8,1,0,0,10,16,14,107,3,12,,,0
Hugo Ekitike,fr FRA,FW,23-325,20.0,0,0,0,35,12,10,7,4,7,,,0
Curtis Jones,eng ENG,"MF,DF",25-101,19.5,2,0,0,16,28,0,12,16,20,,,0
Jeremie Frimpong,nl NED,"DF,MF",25-152,11.4,1,0,0,8,21,4,50,6,9,,,0
Conor Bradley,nir NIR,DF,22-306,10.3,5,0,0,18,20,1,23,12,15,,,0
Andrew Robertson,sct SCO,DF,32-061,12.2,0,0,0,4,1,5,48,6,10,,,0
Giorgi Mamardashvili,ge GEO,GK,25-224,8.6,0,0,0,1,2,0,0,1,1,,,0
Alexander Isak,se SWE,FW,26-232,7.8,0,0,0,5,1,0,2,0,6,,,0
Joe Gomez,eng ENG,DF,28-353,6.0,3,0,0,12,0,0,15,8,7,,,0
Rio Ngumoha,eng ENG,MF,17-255,4.4,0,0,0,3,8,0,15,3,1,,,0
Freddie Woodman,eng ENG,GK,29-068,2.4,0,0,0,0,0,0,0,0,0,,,0
Federico Chiesa,it ITA,MF,28-198,3.5,3,0,0,10,6,2,16,4,5,,,0
Wataru Endo,jp JPN,DF,33-091,1.9,1,0,0,2,3,0,3,0,3,,,0
Trey Nyoni,eng ENG,MF,18-315,0.2,0,0,0,0,0,1,0,0,0,,,0
Harvey Elliott,eng ENG,"FW,MF",23-037,0.0,0,0,0,0,0,0,0,0,0,,,0
