player,nation,pos,age,mp,playing_time_min,playing_time_mnpermp,playing_time_minpct,playing_time_90s,starts_starts,starts_mnperstart,starts_compl,subs_subs,subs_mnpersub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_plus_minus,team_success_plus_minus90,team_success_on_off
Virgil van Dijk,nl NED,DF,34-307,36,3240.0,90.0,100.0,36.0,36,90.0,36,0,,0,1.64,60.0,48.0,12.0,0.33,
Dominik Szoboszlai,hu HUN,"MF,DF",25-198,34,3051.0,90.0,94.2,33.9,34,90.0,32,0,,0,1.56,57.0,46.0,11.0,0.32,-0.15
Ibrahima Konaté,fr FRA,DF,26-351,34,2912.0,86.0,89.9,32.4,34,86.0,25,0,,1,1.71,52.0,40.0,12.0,0.37,0.37
Ryan Gravenberch,nl NED,MF,23-360,34,2845.0,84.0,87.8,31.6,32,87.0,28,2,29.0,0,1.65,48.0,39.0,9.0,0.28,-0.4
Cody Gakpo,nl NED,"MF,FW",27-004,34,2574.0,76.0,79.4,28.6,30,82.0,15,4,28.0,0,1.56,46.0,35.0,11.0,0.38,0.25
Alexis Mac Allister,ar ARG,MF,27-138,35,2478.0,71.0,76.5,27.5,29,81.0,18,6,20.0,0,1.6,42.0,36.0,6.0,0.22,-0.49
Florian Wirtz,de GER,MF,23-008,31,2335.0,75.0,72.1,25.9,27,82.0,9,4,30.0,0,1.68,37.0,30.0,7.0,0.27,-0.23
Milos Kerkez,hu HUN,DF,22-185,32,2159.0,67.0,66.6,24.0,26,79.0,14,6,18.0,4,1.53,39.0,32.0,7.0,0.29,-0.12
Alisson,br BRA,GK,33-221,25,2250.0,90.0,69.4,25.0,25,90.0,25,0,,0,1.84,43.0,30.0,13.0,0.52,0.61
Mohamed Salah,eg EGY,MF,33-330,25,2056.0,82.0,63.5,22.8,22,87.0,16,3,46.0,2,1.76,38.0,33.0,5.0,0.22,-0.31
Hugo Ekitike,fr FRA,FW,23-325,28,1803.0,64.0,55.6,20.0,21,77.0,6,7,26.0,1,1.68,35.0,25.0,10.0,0.5,0.37
Curtis Jones,eng ENG,"MF,DF",25-101,32,1757.0,55.0,54.2,19.5,16,82.0,7,16,28.0,2,1.53,35.0,33.0,2.0,0.1,-0.5
Jeremie Frimpong,nl NED,"DF,MF",25-152,20,1023.0,51.0,31.6,11.4,12,75.0,4,8,16.0,2,1.5,20.0,13.0,7.0,0.62,0.41
Conor Bradley,nir NIR,DF,22-306,15,929.0,62.0,28.7,10.3,12,70.0,3,3,29.0,1,1.47,11.0,13.0,-2.0,-0.19,-0.74
Andrew Robertson,sct SCO,DF,32-061,23,1094.0,48.0,33.8,12.2,10,80.0,4,13,23.0,13,1.61,21.0,15.0,6.0,0.49,0.24
Giorgi Mamardashvili,ge GEO,GK,25-224,9,777.0,86.0,24.0,8.6,9,86.0,8,0,,25,1.11,11.0,14.0,-3.0,-0.35,-0.9
Alexander Isak,se SWE,FW,26-232,14,699.0,50.0,21.6,7.8,8,74.0,0,6,17.0,1,1.71,7.0,9.0,-2.0,-0.26,-0.75
Joe Gomez,eng ENG,DF,28-353,19,540.0,28.0,16.7,6.0,6,63.0,2,13,12.0,11,1.74,16.0,12.0,4.0,0.67,0.4
Rio Ngumoha,eng ENG,MF,17-255,17,398.0,23.0,12.3,4.4,3,66.0,0,14,14.0,18,1.29,13.0,6.0,7.0,1.58,1.42
Freddie Woodman,eng ENG,GK,29-068,3,213.0,71.0,6.6,2.4,2,90.0,2,1,33.0,15,2.0,6.0,4.0,2.0,0.85,0.55
Federico Chiesa,it ITA,MF,28-198,25,314.0,13.0,9.7,3.5,1,60.0,0,24,11.0,9,1.44,14.0,7.0,7.0,2.01,1.85
Wataru Endo,jp JPN,DF,33-091,8,175.0,22.0,5.4,1.9,1,68.0,0,7,15.0,11,2.0,6.0,5.0,1.0,0.51,0.19
Trey Nyoni,eng ENG,MF,18-315,5,16.0,3.0,0.5,0.2,0,,0,5,3.0,22,2.6,0.0,1.0,-1.0,-5.63,-5.99
Harvey Elliott,eng ENG,"FW,MF",23-037,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,2,3.0,1.0,0.0,1.0,90.0,89.69
Giovanni Leoni,it ITA,DF,19-141,0,,,,,0,,0,0,,1,,,,,,
Kieran Morrison,nir NIR,MF,19-183,0,,,,,0,,0,0,,7,,,,,,
Amara Nallo,eng ENG,DF,19-174,0,,,,,0,,0,0,,1,,,,,,
El Hadji Mor Talla Ndiaye,sn SEN,DF,18-125,0,,,,,0,,0,0,,2,,,,,,
Wellity Omoruyi,es ESP,DF,20-119,0,,,,,0,,0,0,,4,,,,,,
Ármin Pécsi,hu HUN,GK,21-076,0,,,,,0,,0,0,,4,,,,,,
Calvin Ramsay,sct SCO,DF,22-284,0,,,,,0,,0,0,,17,,,,,,
Will Wright,,FW,,0,,,,,0,,0,0,,3,,,,,,
