player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sotpct,standard_shper90,standard_sotper90,standard_gpersh,standard_gpersot,standard_pk,standard_pkatt
Virgil van Dijk,nl NED,DF,34-307,36.0,4,27,12,44.4,0.75,0.33,0.15,0.33,0,0
Dominik Szoboszlai,hu HUN,"MF,DF",25-198,33.9,6,68,21,30.9,2.01,0.62,0.09,0.29,0,1
Ibrahima Konaté,fr FRA,DF,26-351,32.4,1,10,3,30.0,0.31,0.09,0.1,0.33,0,0
Ryan Gravenberch,nl NED,MF,23-360,31.6,5,35,11,31.4,1.11,0.35,0.14,0.45,0,0
Cody Gakpo,nl NED,"MF,FW",27-004,28.6,7,83,21,25.3,2.9,0.73,0.08,0.33,0,0
Alexis Mac Allister,ar ARG,MF,27-138,27.5,2,47,11,23.4,1.71,0.4,0.04,0.18,0,0
Florian Wirtz,de GER,MF,23-008,25.9,5,48,17,35.4,1.85,0.66,0.1,0.29,0,0
Milos Kerkez,hu HUN,DF,22-185,24.0,2,8,2,25.0,0.33,0.08,0.25,1.0,0,0
Alisson,br BRA,GK,33-221,25.0,0,0,0,,0.0,0.0,,,0,0
Mohamed Salah,eg EGY,MF,33-330,22.8,7,64,17,26.6,2.8,0.74,0.09,0.35,1,1
Hugo Ekitike,fr FRA,FW,23-325,20.0,11,65,19,29.2,3.24,0.95,0.17,0.58,0,0
Curtis Jones,eng ENG,"MF,DF",25-101,19.5,0,19,6,31.6,0.97,0.31,0.0,0.0,0,0
Jeremie Frimpong,nl NED,"DF,MF",25-152,11.4,0,10,2,20.0,0.88,0.18,0.0,0.0,0,0
Conor Bradley,nir NIR,DF,22-306,10.3,0,6,0,0.0,0.58,0.0,0.0,,0,0
Andrew Robertson,sct SCO,DF,32-061,12.2,1,9,3,33.3,0.74,0.25,0.11,0.33,0,0
Giorgi Mamardashvili,ge GEO,GK,25-224,8.6,0,0,0,,0.0,0.0,,,0,0
Alexander Isak,se SWE,FW,26-232,7.8,3,17,6,35.3,2.19,0.77,0.18,0.5,0,0
Joe Gomez,eng ENG,DF,28-353,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,0,0
Rio Ngumoha,eng ENG,MF,17-255,4.4,2,11,6,54.5,2.49,1.36,0.18,0.33,0,0
Freddie Woodman,eng ENG,GK,29-068,2.4,0,0,0,,0.0,0.0,,,0,0
Federico Chiesa,it ITA,MF,28-198,3.5,2,16,4,25.0,4.59,1.15,0.13,0.5,0,0
Wataru Endo,jp JPN,DF,33-091,1.9,0,1,0,0.0,0.51,0.0,0.0,,0,0
Trey Nyoni,eng ENG,MF,18-315,0.2,0,1,0,0.0,5.63,0.0,0.0,,0,0
Harvey Elliott,eng ENG,"FW,MF",23-037,0.0,0,0,0,,0.0,0.0,,,0,0
