player,nation,pos,age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_gplusa,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_gplusa,per_90_minutes_g_pk,per_90_minutes_gplusa_pk
Virgil van Dijk,nl NED,DF,34-307,36,36,3240.0,36.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11
Dominik Szoboszlai,hu HUN,"MF,DF",25-198,34,34,3051.0,33.9,6.0,5.0,11.0,6.0,0.0,1.0,8.0,1.0,0.18,0.15,0.32,0.18,0.32
Ibrahima Konaté,fr FRA,DF,26-351,34,34,2912.0,32.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.03,0.0,0.03,0.03,0.03
Ryan Gravenberch,nl NED,MF,23-360,34,32,2845.0,31.6,5.0,3.0,8.0,5.0,0.0,0.0,5.0,0.0,0.16,0.09,0.25,0.16,0.25
Cody Gakpo,nl NED,"MF,FW",27-004,34,30,2574.0,28.6,7.0,5.0,12.0,7.0,0.0,0.0,3.0,0.0,0.24,0.17,0.42,0.24,0.42
Alexis Mac Allister,ar ARG,MF,27-138,35,29,2478.0,27.5,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.07,0.15,0.22,0.07,0.22
Florian Wirtz,de GER,MF,23-008,31,27,2335.0,25.9,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,0.19,0.12,0.31,0.19,0.31
Milos Kerkez,hu HUN,DF,22-185,32,26,2159.0,24.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.08,0.04,0.13,0.08,0.13
Alisson,br BRA,GK,33-221,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Salah,eg EGY,MF,33-330,25,22,2056.0,22.8,7.0,6.0,13.0,6.0,1.0,1.0,1.0,0.0,0.31,0.26,0.57,0.26,0.53
Hugo Ekitike,fr FRA,FW,23-325,28,21,1803.0,20.0,11.0,4.0,15.0,11.0,0.0,0.0,0.0,0.0,0.55,0.2,0.75,0.55,0.75
Curtis Jones,eng ENG,"MF,DF",25-101,32,16,1757.0,19.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1
Jeremie Frimpong,nl NED,"DF,MF",25-152,20,12,1023.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09
Conor Bradley,nir NIR,DF,22-306,15,12,929.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,0.1
Andrew Robertson,sct SCO,DF,32-061,23,10,1094.0,12.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Giorgi Mamardashvili,ge GEO,GK,25-224,9,9,777.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Isak,se SWE,FW,26-232,14,8,699.0,7.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.39,0.13,0.52,0.39,0.52
Joe Gomez,eng ENG,DF,28-353,19,6,540.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.33,0.33,0.0,0.33
Rio Ngumoha,eng ENG,MF,17-255,17,3,398.0,4.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.45,0.23,0.68,0.45,0.68
Freddie Woodman,eng ENG,GK,29-068,3,2,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Chiesa,it ITA,MF,28-198,25,1,314.0,3.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.57,0.29,0.86,0.57,0.86
Wataru Endo,jp JPN,DF,33-091,8,1,175.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.51,0.51,0.0,0.51
Trey Nyoni,eng ENG,MF,18-315,5,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Elliott,eng ENG,"FW,MF",23-037,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giovanni Leoni,it ITA,DF,19-141,0,0,,,,,,,,,,,,,,,
Kieran Morrison,nir NIR,MF,19-183,0,0,,,,,,,,,,,,,,,
Amara Nallo,eng ENG,DF,19-174,0,0,,,,,,,,,,,,,,,
El Hadji Mor Talla Ndiaye,sn SEN,DF,18-125,0,0,,,,,,,,,,,,,,,
Wellity Omoruyi,es ESP,DF,20-119,0,0,,,,,,,,,,,,,,,
Ármin Pécsi,hu HUN,GK,21-076,0,0,,,,,,,,,,,,,,,
Calvin Ramsay,sct SCO,DF,22-284,0,0,,,,,,,,,,,,,,,
Will Wright,,FW,,0,0,,,,,,,,,,,,,,,
